00,3663,D5,09,04,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,11,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,11,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,13,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,13,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,15,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,16,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,16,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,18,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,18,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,19,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,19,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,20,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,20,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,21,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,21,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,22,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,22,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,23,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,24,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,24,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,25,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,25,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,26,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,26,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,27,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,27,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,28,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,28,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,29,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D6,09,04,29,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,31,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,31,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,32,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,32,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,33,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,33,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,34,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,34,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,35,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,35,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,36,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,36,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,37,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,37,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,38,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,39,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,39,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,40,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,40,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,41,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,41,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,42,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,42,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,43,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,43,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,44,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,44,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,45,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,46,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,46,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,47,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,47,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,48,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,48,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,49,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,49,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,50,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,50,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,50,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,51,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,51,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,52,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,52,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,53,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,53,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,54,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,54,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,55,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,55,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,56,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,56,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,57,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,58,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,58,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,59,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,04,59,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,32,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,32,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,32,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,33,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,33,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,34,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,34,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,35,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,35,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,36,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,36,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,37,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,37,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,38,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,39,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,39,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,40,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,40,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,41,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,41,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,42,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,42,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,43,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,43,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,44,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,44,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,45,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,45,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,45,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,46,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,46,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,47,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,47,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,48,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,48,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,48,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,49,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,49,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,50,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,50,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,50,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,50,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,51,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,51,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,51,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,52,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,52,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,52,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,53,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,53,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,54,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,54,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,54,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,55,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,55,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,56,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,56,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,56,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,57,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,57,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,57,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,57,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,58,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,58,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,58,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,58,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,59,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,59,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,05,59,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D6,09,06,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,11,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,11,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,11,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,11,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,13,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,13,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,13,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,3663,D5,09,06,13,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
